"year","month","day","sunrise","sunset"
2014,8,1,Mon Sep 01 2014 06:08:39 GMT-0400 (EDT),Mon Sep 01 2014 19:15:31 GMT-0400 (EDT),
2014,8,2,Tue Sep 02 2014 06:09:41 GMT-0400 (EDT),Tue Sep 02 2014 19:13:50 GMT-0400 (EDT),
2014,8,3,Wed Sep 03 2014 06:10:43 GMT-0400 (EDT),Wed Sep 03 2014 19:12:09 GMT-0400 (EDT),
2014,8,4,Thu Sep 04 2014 06:11:44 GMT-0400 (EDT),Thu Sep 04 2014 19:10:27 GMT-0400 (EDT),
2014,8,5,Fri Sep 05 2014 06:12:46 GMT-0400 (EDT),Fri Sep 05 2014 19:08:45 GMT-0400 (EDT),
2014,8,6,Sat Sep 06 2014 06:13:48 GMT-0400 (EDT),Sat Sep 06 2014 19:07:03 GMT-0400 (EDT),
2014,8,7,Sun Sep 07 2014 06:14:50 GMT-0400 (EDT),Sun Sep 07 2014 19:05:20 GMT-0400 (EDT),
2014,8,8,Mon Sep 08 2014 06:15:51 GMT-0400 (EDT),Mon Sep 08 2014 19:03:37 GMT-0400 (EDT),
2014,8,9,Tue Sep 09 2014 06:16:53 GMT-0400 (EDT),Tue Sep 09 2014 19:01:53 GMT-0400 (EDT),
2014,8,10,Wed Sep 10 2014 06:17:55 GMT-0400 (EDT),Wed Sep 10 2014 19:00:09 GMT-0400 (EDT),
2014,8,11,Thu Sep 11 2014 06:18:57 GMT-0400 (EDT),Thu Sep 11 2014 18:58:25 GMT-0400 (EDT),
2014,8,12,Fri Sep 12 2014 06:19:59 GMT-0400 (EDT),Fri Sep 12 2014 18:56:41 GMT-0400 (EDT),
2014,8,13,Sat Sep 13 2014 06:21:00 GMT-0400 (EDT),Sat Sep 13 2014 18:54:56 GMT-0400 (EDT),
2014,8,14,Sun Sep 14 2014 06:22:02 GMT-0400 (EDT),Sun Sep 14 2014 18:53:12 GMT-0400 (EDT),
2014,8,15,Mon Sep 15 2014 06:23:04 GMT-0400 (EDT),Mon Sep 15 2014 18:51:27 GMT-0400 (EDT),
2014,8,16,Tue Sep 16 2014 06:24:06 GMT-0400 (EDT),Tue Sep 16 2014 18:49:42 GMT-0400 (EDT),
2014,8,17,Wed Sep 17 2014 06:25:08 GMT-0400 (EDT),Wed Sep 17 2014 18:47:57 GMT-0400 (EDT),
2014,8,18,Thu Sep 18 2014 06:26:11 GMT-0400 (EDT),Thu Sep 18 2014 18:46:12 GMT-0400 (EDT),
2014,8,19,Fri Sep 19 2014 06:27:13 GMT-0400 (EDT),Fri Sep 19 2014 18:44:27 GMT-0400 (EDT),
2014,8,20,Sat Sep 20 2014 06:28:15 GMT-0400 (EDT),Sat Sep 20 2014 18:42:42 GMT-0400 (EDT),
2014,8,21,Sun Sep 21 2014 06:29:18 GMT-0400 (EDT),Sun Sep 21 2014 18:40:57 GMT-0400 (EDT),
2014,8,22,Mon Sep 22 2014 06:30:21 GMT-0400 (EDT),Mon Sep 22 2014 18:39:12 GMT-0400 (EDT),
2014,8,23,Tue Sep 23 2014 06:31:23 GMT-0400 (EDT),Tue Sep 23 2014 18:37:27 GMT-0400 (EDT),
2014,8,24,Wed Sep 24 2014 06:32:26 GMT-0400 (EDT),Wed Sep 24 2014 18:35:43 GMT-0400 (EDT),
2014,8,25,Thu Sep 25 2014 06:33:30 GMT-0400 (EDT),Thu Sep 25 2014 18:33:58 GMT-0400 (EDT),
2014,8,26,Fri Sep 26 2014 06:34:33 GMT-0400 (EDT),Fri Sep 26 2014 18:32:14 GMT-0400 (EDT),
2014,8,27,Sat Sep 27 2014 06:35:36 GMT-0400 (EDT),Sat Sep 27 2014 18:30:30 GMT-0400 (EDT),
2014,8,28,Sun Sep 28 2014 06:36:40 GMT-0400 (EDT),Sun Sep 28 2014 18:28:46 GMT-0400 (EDT),
2014,8,29,Mon Sep 29 2014 06:37:44 GMT-0400 (EDT),Mon Sep 29 2014 18:27:02 GMT-0400 (EDT),
2014,8,30,Tue Sep 30 2014 06:38:48 GMT-0400 (EDT),Tue Sep 30 2014 18:25:19 GMT-0400 (EDT),
