"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","date","year","month","day","hour","minute","second","tzname"
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/01 00:52:00,2014,11,01,00,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.0,16.1,2014/11/01 01:52:00,2014,11,01,01,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,10.0,16.1,2014/11/01 02:52:00,2014,11,01,02,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,9.4,16.1,2014/11/01 03:52:00,2014,11,01,03,52,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/01 04:39:00,2014,11,01,04,39,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/01 04:52:00,2014,11,01,04,52,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/01 05:02:00,2014,11,01,05,02,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/01 05:11:00,2014,11,01,05,11,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/01 05:52:00,2014,11,01,05,52,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,16.1,2014/11/01 06:38:00,2014,11,01,06,38,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,16.1,2014/11/01 06:52:00,2014,11,01,06,52,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,16.1,2014/11/01 07:52:00,2014,11,01,07,52,00,America/New_York
Overcast,0,0,0,0,0,0,9.0,16.1,2014/11/01 08:48:00,2014,11,01,08,48,00,America/New_York
Overcast,0,0,0,0,0,0,8.9,16.1,2014/11/01 08:52:00,2014,11,01,08,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,8.0,2014/11/01 09:52:00,2014,11,01,09,52,00,America/New_York
Rain,0,0,1,0,0,0,9.4,4.0,2014/11/01 10:07:00,2014,11,01,10,07,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,6.4,2014/11/01 10:27:00,2014,11,01,10,27,00,America/New_York
Rain,0,0,1,0,0,0,10.0,6.4,2014/11/01 10:52:00,2014,11,01,10,52,00,America/New_York
Rain,0,0,1,0,0,0,10.6,6.4,2014/11/01 11:52:00,2014,11,01,11,52,00,America/New_York
Rain,0,0,1,0,0,0,10.6,4.8,2014/11/01 12:52:00,2014,11,01,12,52,00,America/New_York
Rain,0,0,1,0,0,0,10.6,3.2,2014/11/01 13:19:00,2014,11,01,13,19,00,America/New_York
Light Rain,0,0,1,0,0,0,10.6,6.4,2014/11/01 13:31:00,2014,11,01,13,31,00,America/New_York
Light Rain,0,0,1,0,0,0,10.6,8.0,2014/11/01 13:40:00,2014,11,01,13,40,00,America/New_York
Light Rain,0,0,1,0,0,0,10.6,8.0,2014/11/01 13:52:00,2014,11,01,13,52,00,America/New_York
Light Rain,0,0,1,0,0,0,10.0,9.7,2014/11/01 14:10:00,2014,11,01,14,10,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,8.0,2014/11/01 14:52:00,2014,11,01,14,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,11.3,2014/11/01 15:52:00,2014,11,01,15,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,6.4,2014/11/01 16:52:00,2014,11,01,16,52,00,America/New_York
Light Rain,0,0,1,0,0,0,8.3,11.3,2014/11/01 17:21:00,2014,11,01,17,21,00,America/New_York
Light Rain,0,0,1,0,0,0,8.9,14.5,2014/11/01 17:52:00,2014,11,01,17,52,00,America/New_York
Light Rain,0,0,1,0,0,0,7.8,11.3,2014/11/01 18:42:00,2014,11,01,18,42,00,America/New_York
Light Rain,0,0,1,0,0,0,8.0,14.5,2014/11/01 18:49:00,2014,11,01,18,49,00,America/New_York
Light Rain,0,0,1,0,0,0,7.8,14.5,2014/11/01 18:52:00,2014,11,01,18,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/01 19:52:00,2014,11,01,19,52,00,America/New_York
Light Rain,0,0,1,0,0,0,7.0,4.8,2014/11/01 20:47:00,2014,11,01,20,47,00,America/New_York
Light Rain,0,0,1,0,0,0,6.7,4.8,2014/11/01 20:52:00,2014,11,01,20,52,00,America/New_York
Light Rain,0,0,1,0,0,0,6.7,4.8,2014/11/01 21:09:00,2014,11,01,21,09,00,America/New_York
Light Rain,0,0,1,0,0,0,6.7,4.8,2014/11/01 21:21:00,2014,11,01,21,21,00,America/New_York
Light Rain,0,0,1,0,0,0,6.7,8.0,2014/11/01 21:29:00,2014,11,01,21,29,00,America/New_York
Light Rain,0,0,1,0,0,0,7.2,16.1,2014/11/01 21:41:00,2014,11,01,21,41,00,America/New_York
Light Rain,0,0,1,0,0,0,7.0,16.1,2014/11/01 21:50:00,2014,11,01,21,50,00,America/New_York
Light Rain,0,0,1,0,0,0,6.7,16.1,2014/11/01 21:52:00,2014,11,01,21,52,00,America/New_York
Light Rain,0,0,1,0,0,0,7.2,16.1,2014/11/01 22:17:00,2014,11,01,22,17,00,America/New_York
Light Rain,0,0,1,0,0,0,7.2,16.1,2014/11/01 22:52:00,2014,11,01,22,52,00,America/New_York
Light Rain,0,0,1,0,0,0,6.7,9.7,2014/11/01 23:52:00,2014,11,01,23,52,00,America/New_York
Light Rain,0,0,1,0,0,0,6.0,8.0,2014/11/02 00:47:00,2014,11,02,00,47,00,America/New_York
Light Rain,0,0,1,0,0,0,6.1,8.0,2014/11/02 00:52:00,2014,11,02,00,52,00,America/New_York
Light Rain,0,0,1,0,0,0,6.1,16.1,2014/11/02 01:44:00,2014,11,02,01,44,00,America/New_York
Light Rain,0,0,1,0,0,0,6.1,16.1,2014/11/02 01:52:00,2014,11,02,01,52,00,America/New_York
Light Rain,0,0,1,0,0,0,6.1,16.1,2014/11/02 01:20:00,2014,11,02,01,20,00,America/New_York
Rain,0,0,1,0,0,0,5.6,9.7,2014/11/02 01:52:00,2014,11,02,01,52,00,America/New_York
Light Rain,0,0,1,0,0,0,5.6,9.7,2014/11/02 02:52:00,2014,11,02,02,52,00,America/New_York
Light Rain,0,0,1,0,0,0,5.6,9.7,2014/11/02 02:55:00,2014,11,02,02,55,00,America/New_York
Light Rain,0,0,1,0,0,0,5.6,9.7,2014/11/02 03:02:00,2014,11,02,03,02,00,America/New_York
Light Rain,0,0,1,0,0,0,5.0,8.0,2014/11/02 03:52:00,2014,11,02,03,52,00,America/New_York
Light Rain,0,0,1,0,0,0,5.0,9.7,2014/11/02 04:00:00,2014,11,02,04,00,00,America/New_York
Light Rain,0,0,1,0,0,0,4.4,8.0,2014/11/02 04:52:00,2014,11,02,04,52,00,America/New_York
Light Rain,0,0,1,0,0,0,4.4,9.7,2014/11/02 05:52:00,2014,11,02,05,52,00,America/New_York
Rain,0,0,1,0,0,0,4.4,6.4,2014/11/02 06:52:00,2014,11,02,06,52,00,America/New_York
Rain,0,0,1,0,0,0,4.4,4.8,2014/11/02 07:39:00,2014,11,02,07,39,00,America/New_York
Rain,0,0,1,0,0,0,4.0,4.8,2014/11/02 07:48:00,2014,11,02,07,48,00,America/New_York
Rain,0,0,1,0,0,0,4.4,4.8,2014/11/02 07:52:00,2014,11,02,07,52,00,America/New_York
Heavy Rain,0,0,1,0,0,0,3.3,3.2,2014/11/02 08:35:00,2014,11,02,08,35,00,America/New_York
Heavy Rain,0,0,1,0,0,0,2.8,4.0,2014/11/02 08:52:00,2014,11,02,08,52,00,America/New_York
Heavy Rain,0,0,1,0,0,0,2.2,2.8,2014/11/02 09:07:00,2014,11,02,09,07,00,America/New_York
Light Snow,0,0,0,1,0,0,1.7,2.4,2014/11/02 09:16:00,2014,11,02,09,16,00,America/New_York
Light Snow,0,0,0,1,0,0,1.0,1.2,2014/11/02 09:48:00,2014,11,02,09,48,00,America/New_York
Snow,1,0,0,1,0,0,0.6,0.8,2014/11/02 09:52:00,2014,11,02,09,52,00,America/New_York
Light Snow,0,0,0,1,0,0,0.6,1.6,2014/11/02 10:30:00,2014,11,02,10,30,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,2.8,2014/11/02 10:52:00,2014,11,02,10,52,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,3.2,2014/11/02 11:19:00,2014,11,02,11,19,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,2.0,2014/11/02 11:52:00,2014,11,02,11,52,00,America/New_York
Snow,1,0,0,1,0,0,0.6,0.8,2014/11/02 12:03:00,2014,11,02,12,03,00,America/New_York
Snow,1,0,0,1,0,0,0.6,0.8,2014/11/02 12:52:00,2014,11,02,12,52,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,1.2,2014/11/02 13:52:00,2014,11,02,13,52,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,2.0,2014/11/02 13:59:00,2014,11,02,13,59,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,2.8,2014/11/02 14:11:00,2014,11,02,14,11,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,3.2,2014/11/02 14:15:00,2014,11,02,14,15,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,2.0,2014/11/02 14:39:00,2014,11,02,14,39,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,1.6,2014/11/02 14:52:00,2014,11,02,14,52,00,America/New_York
Light Snow,0,0,0,1,0,0,1.1,3.2,2014/11/02 15:35:00,2014,11,02,15,35,00,America/New_York
Light Snow,0,0,0,1,0,0,2.0,6.4,2014/11/02 15:47:00,2014,11,02,15,47,00,America/New_York
Light Snow,0,0,0,1,0,0,1.7,11.3,2014/11/02 15:52:00,2014,11,02,15,52,00,America/New_York
Overcast,0,0,0,0,0,0,2.8,16.1,2014/11/02 16:17:00,2014,11,02,16,17,00,America/New_York
