"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","precip","date","year","month","day","hour","minute","second","tzname"
Mostly Cloudy,0,0,0,0,0,0,-8.3,16.1,-9999.00,2015/01/01 00:52:00,2015,01,01,00,52,00,America/New_York
Clear,0,0,0,0,0,0,-6.7,16.1,-9999.00,2015/01/01 01:52:00,2015,01,01,01,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,-5.6,16.1,-9999.00,2015/01/01 02:52:00,2015,01,01,02,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,-5.0,16.1,-9999.00,2015/01/01 03:52:00,2015,01,01,03,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.0,16.1,-9999.00,2015/01/01 04:52:00,2015,01,01,04,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.6,16.1,-9999.00,2015/01/01 05:52:00,2015,01,01,05,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.6,16.1,-9999.00,2015/01/01 06:52:00,2015,01,01,06,52,00,America/New_York
Clear,0,0,0,0,0,0,-5.6,16.1,-9999.00,2015/01/01 07:52:00,2015,01,01,07,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.9,16.1,-9999.00,2015/01/01 08:52:00,2015,01,01,08,52,00,America/New_York
Clear,0,0,0,0,0,0,-2.2,16.1,-9999.00,2015/01/01 09:52:00,2015,01,01,09,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.1,16.1,-9999.00,2015/01/01 10:52:00,2015,01,01,10,52,00,America/New_York
Clear,0,0,0,0,0,0,-0.6,16.1,-9999.00,2015/01/01 11:52:00,2015,01,01,11,52,00,America/New_York
Clear,0,0,0,0,0,0,0.0,16.1,-9999.00,2015/01/01 12:52:00,2015,01,01,12,52,00,America/New_York
Clear,0,0,0,0,0,0,0.0,16.1,-9999.00,2015/01/01 13:52:00,2015,01,01,13,52,00,America/New_York
Clear,0,0,0,0,0,0,0.0,16.1,-9999.00,2015/01/01 14:52:00,2015,01,01,14,52,00,America/New_York
Clear,0,0,0,0,0,0,-0.6,16.1,-9999.00,2015/01/01 15:52:00,2015,01,01,15,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.1,16.1,-9999.00,2015/01/01 16:52:00,2015,01,01,16,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.1,16.1,-9999.00,2015/01/01 17:52:00,2015,01,01,17,52,00,America/New_York
Clear,0,0,0,0,0,0,-0.6,16.1,-9999.00,2015/01/01 18:52:00,2015,01,01,18,52,00,America/New_York
Clear,0,0,0,0,0,0,-0.6,16.1,-9999.00,2015/01/01 19:52:00,2015,01,01,19,52,00,America/New_York
Clear,0,0,0,0,0,0,-0.6,16.1,-9999.00,2015/01/01 20:52:00,2015,01,01,20,52,00,America/New_York
Clear,0,0,0,0,0,0,0.6,16.1,-9999.00,2015/01/01 21:52:00,2015,01,01,21,52,00,America/New_York
Clear,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/01/01 22:52:00,2015,01,01,22,52,00,America/New_York
Clear,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/01/01 23:52:00,2015,01,01,23,52,00,America/New_York
Overcast,0,0,0,0,0,0,2.8,16.1,-9999.00,2015/01/02 00:52:00,2015,01,02,00,52,00,America/New_York
Overcast,0,0,0,0,0,0,2.8,16.1,-9999.00,2015/01/02 01:52:00,2015,01,02,01,52,00,America/New_York
Overcast,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/01/02 02:52:00,2015,01,02,02,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,1.7,16.1,-9999.00,2015/01/02 03:52:00,2015,01,02,03,52,00,America/New_York
Clear,0,0,0,0,0,0,0.0,16.1,-9999.00,2015/01/02 04:52:00,2015,01,02,04,52,00,America/New_York
Clear,0,0,0,0,0,0,0.0,16.1,-9999.00,2015/01/02 05:52:00,2015,01,02,05,52,00,America/New_York
Clear,0,0,0,0,0,0,0.6,16.1,-9999.00,2015/01/02 06:52:00,2015,01,02,06,52,00,America/New_York
Overcast,0,0,0,0,0,0,0.6,16.1,-9999.00,2015/01/02 07:52:00,2015,01,02,07,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/01/02 08:52:00,2015,01,02,08,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,-9999.00,2015/01/02 09:52:00,2015,01,02,09,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,4.4,16.1,-9999.00,2015/01/02 10:52:00,2015,01,02,10,52,00,America/New_York
Overcast,0,0,0,0,0,0,3.3,16.1,-9999.00,2015/01/02 11:52:00,2015,01,02,11,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,4.4,16.1,-9999.00,2015/01/02 12:52:00,2015,01,02,12,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,5.0,16.1,-9999.00,2015/01/02 13:52:00,2015,01,02,13,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,-9999.00,2015/01/02 14:52:00,2015,01,02,14,52,00,America/New_York
Clear,0,0,0,0,0,0,3.3,16.1,-9999.00,2015/01/02 15:52:00,2015,01,02,15,52,00,America/New_York
Clear,0,0,0,0,0,0,2.2,16.1,-9999.00,2015/01/02 16:52:00,2015,01,02,16,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,-9999.00,2015/01/02 17:52:00,2015,01,02,17,52,00,America/New_York
Clear,0,0,0,0,0,0,0.6,16.1,-9999.00,2015/01/02 18:52:00,2015,01,02,18,52,00,America/New_York
Clear,0,0,0,0,0,0,-0.6,16.1,-9999.00,2015/01/02 19:52:00,2015,01,02,19,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.9,16.1,-9999.00,2015/01/02 20:52:00,2015,01,02,20,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.7,16.1,-9999.00,2015/01/02 21:52:00,2015,01,02,21,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.1,16.1,-9999.00,2015/01/02 22:52:00,2015,01,02,22,52,00,America/New_York
Clear,0,0,0,0,0,0,-1.7,16.1,-9999.00,2015/01/02 23:52:00,2015,01,02,23,52,00,America/New_York
Clear,0,0,0,0,0,0,-2.2,16.1,-9999.00,2015/01/03 00:52:00,2015,01,03,00,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.3,16.1,-9999.00,2015/01/03 01:52:00,2015,01,03,01,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.3,16.1,-9999.00,2015/01/03 02:52:00,2015,01,03,02,52,00,America/New_York
Clear,0,0,0,0,0,0,-3.3,16.1,-9999.00,2015/01/03 03:52:00,2015,01,03,03,52,00,America/New_York
Clear,0,0,0,0,0,0,-4.4,16.1,-9999.00,2015/01/03 04:52:00,2015,01,03,04,52,00,America/New_York
