"did","sht_temperature","bmp_temperature","illuminance","bmp_pressure","sht_humidity","battery_voltage","charge_flags_charge","charge_flags_fault","date","extra"
0x815A,-999,-999,-999,-999,30.8,-999,-999,-999,Fri Oct 17 2014 11:00:00 GMT-0400 (EDT),-999
0x815A,29.95806629834255,29.628333333333334,9717.395604395604,1005.1867391304351,32.88478260869565,4.829125683060118,-999,-999,Fri Oct 17 2014 13:00:00 GMT-0400 (EDT),-999
0x815A,28.427978723404255,27.916489361702137,19209.952127659573,1005.892127659574,35.642021276595756,4.826489361702141,-999,-999,Fri Oct 17 2014 15:00:00 GMT-0400 (EDT),-999
0x815A,16.95927272727272,16.892272727272747,523.5454545454545,1006.5466363636366,68.52954545454544,4.835909090909102,-999,-999,Fri Oct 17 2014 17:00:00 GMT-0400 (EDT),-999
0x815A,14.65354838709677,14.567741935483868,0,1006.7874193548388,76.79032258064518,4.844838709677419,-999,-999,Fri Oct 17 2014 19:00:00 GMT-0400 (EDT),-999
0x815A,19.470555555555556,22.28333333333333,78.75,1021.8252777777777,23.483333333333334,4.451666666666667,-999,-999,Mon Oct 20 2014 11:00:00 GMT-0400 (EDT),-999
0x815A,21.630829493087553,21.24746543778802,8852.940092165898,1016.6935944700462,21.163594470046085,4.466589861751164,-999,-999,Mon Oct 20 2014 13:00:00 GMT-0400 (EDT),-999
0x815A,16.540295358649793,16.524050632911383,7177.721518987341,1017.4875949367092,32.523628691983106,4.4758227848101395,-999,-999,Mon Oct 20 2014 15:00:00 GMT-0400 (EDT),-999
0x815A,30.819438202247195,40.43932584269665,454.35955056179773,1100.1044943820223,52.35505617977527,4.480449438202249,-999,-999,Mon Oct 20 2014 17:00:00 GMT-0400 (EDT),-999
0x815A,47.85277227722772,50.497029702970316,0,1136.4448514851488,61.369306930693064,4.478712871287133,-999,-999,Mon Oct 20 2014 19:00:00 GMT-0400 (EDT),-999
0x815A,54.480000000000025,50.534426229508185,0,1139.0444262295077,66.09016393442624,4.465573770491804,-999,-999,Mon Oct 20 2014 21:00:00 GMT-0400 (EDT),-999
0x815A,60.50425925925925,50.57037037037032,0,1141.0672222222224,70.37222222222223,4.462592592592592,-999,-999,Mon Oct 20 2014 23:00:00 GMT-0400 (EDT),-999
0x815A,72.37933333333334,50.56399999999997,0,1140.3821333333333,78.81333333333333,4.4554666666666645,-999,-999,Tue Oct 21 2014 01:00:00 GMT-0400 (EDT),-999
0x815A,71.13763440860218,50.56666666666666,0,1142.2222580645162,77.93440860215051,4.449139784946235,-999,-999,Tue Oct 21 2014 03:00:00 GMT-0400 (EDT),-999
0x815A,74.07166666666669,50.57444444444441,0.9666666666666667,1142.0984444444443,80.01888888888891,4.455333333333333,-999,-999,Tue Oct 21 2014 05:00:00 GMT-0400 (EDT),-999
0x815A,71.1243181818182,47.83181818181822,459.07954545454544,1125.754659090909,81.13181818181816,4.442386363636365,-999,-999,Tue Oct 21 2014 07:00:00 GMT-0400 (EDT),-999
0x815A,18.250952380952363,16.895833333333336,1631.4761904761904,1020.3722619047614,76.41904761904762,4.44315476190477,-999,-999,Tue Oct 21 2014 09:00:00 GMT-0400 (EDT),-999
0x815A,19.032093023255815,18.86279069767442,2828.9883720930234,1014.9416860465118,58.295348837209296,4.446860465116289,-999,-999,Tue Oct 21 2014 11:00:00 GMT-0400 (EDT),-999
0x815A,18.850496894409936,18.677018633540374,2928.7204968944097,1013.8044099378893,57.331677018633535,4.452795031055907,-999,-999,Tue Oct 21 2014 13:00:00 GMT-0400 (EDT),-999
0x815A,18.976907894736836,18.823026315789466,2408.1447368421054,1013.3500657894734,58.42960526315789,4.45539473684211,-999,-999,Tue Oct 21 2014 15:00:00 GMT-0400 (EDT),-999
0x815A,21.52513157894737,19.233552631578945,278.75,1028.2048026315792,71.14605263157894,4.467828947368429,-999,-999,Tue Oct 21 2014 17:00:00 GMT-0400 (EDT),-999
0x815A,67.07662162162163,49.897297297297314,0,1130.898108108108,75.5797297297297,4.469999999999997,-999,-999,Tue Oct 21 2014 19:00:00 GMT-0400 (EDT),-999
0x815A,55.54469999999999,38.252000000000045,0,1093.7596000000003,80.78799999999997,4.4561999999999955,-999,-999,Tue Oct 21 2014 21:00:00 GMT-0400 (EDT),-999
0x815A,20.515597484276736,17.51823899371063,0,1026.924779874214,80.57169811320757,4.452830188679251,-999,-999,Tue Oct 21 2014 23:00:00 GMT-0400 (EDT),-999
0x815A,24.535337837837844,19.84594594594594,0,1032.91777027027,80.83716216216216,4.456756756756759,-999,-999,Wed Oct 22 2014 01:00:00 GMT-0400 (EDT),-999
0x815A,31.191590909090888,22.746969696969682,0,1042.2171969696974,85.57121212121214,4.451136363636364,-999,-999,Wed Oct 22 2014 03:00:00 GMT-0400 (EDT),-999
0x815A,15.731910112359548,14.698314606741597,1.5224719101123596,1017.6975280898872,84.92471910112359,4.459438202247197,-999,-999,Wed Oct 22 2014 05:00:00 GMT-0400 (EDT),-999
0x815A,16.85872928176796,15.301104972375665,226.9060773480663,1019.4719337016573,85.71436464088393,4.456740331491722,-999,-999,Wed Oct 22 2014 07:00:00 GMT-0400 (EDT),-999
0x815A,16.58098765432095,14.98703703703706,696.1913580246913,1019.2314814814815,86.86728395061728,4.481481481481485,-999,-999,Wed Oct 22 2014 09:00:00 GMT-0400 (EDT),-999
